RecordType,StartTime,Demand
VD,2017-01-02T23:10:00Z,30721
VD,2017-01-02T23:15:00Z,30385
VD,2017-01-02T23:20:00Z,30045
VD,2017-01-02T23:25:00Z,29755
VD,2017-01-02T23:30:00Z,29738
VD,2017-01-02T23:35:00Z,29637
VD,2017-01-02T23:40:00Z,29491
VD,2017-01-02T23:45:00Z,29274
VD,2017-01-02T23:50:00Z,29100
VD,2017-01-02T23:55:00Z,28951
VD,2017-01-03T00:00:00Z,28991
VD,2017-01-03T00:05:00Z,29118
VD,2017-01-03T00:10:00Z,29232
VD,2017-01-03T00:15:00Z,29543
VD,2017-01-03T00:20:00Z,29623
VD,2017-01-03T00:25:00Z,29592
VD,2017-01-03T00:30:00Z,29860
VD,2017-01-03T00:35:00Z,30029
VD,2017-01-03T00:40:00Z,30120
VD,2017-01-03T00:45:00Z,30131
VD,2017-01-03T00:50:00Z,30067
VD,2017-01-03T00:55:00Z,29925
VD,2017-01-03T01:00:00Z,29913
VD,2017-01-03T01:05:00Z,29930
VD,2017-01-03T01:10:00Z,29864
VD,2017-01-03T01:15:00Z,29839
VD,2017-01-03T01:20:00Z,29678
VD,2017-01-03T01:25:00Z,29647
VD,2017-01-03T01:30:00Z,29640
VD,2017-01-03T01:35:00Z,29480
VD,2017-01-03T01:40:00Z,29352
VD,2017-01-03T01:45:00Z,29256
VD,2017-01-03T01:50:00Z,29149
VD,2017-01-03T01:55:00Z,29055
VD,2017-01-03T02:00:00Z,29118
VD,2017-01-03T02:05:00Z,28989
VD,2017-01-03T02:10:00Z,28881
VD,2017-01-03T02:15:00Z,28805
VD,2017-01-03T02:20:00Z,28736
VD,2017-01-03T02:25:00Z,28637
VD,2017-01-03T02:30:00Z,28757
VD,2017-01-03T02:35:00Z,28751
VD,2017-01-03T02:40:00Z,28698
VD,2017-01-03T02:45:00Z,28621
VD,2017-01-03T02:50:00Z,28509
VD,2017-01-03T02:55:00Z,28411
VD,2017-01-03T03:00:00Z,28412
VD,2017-01-03T03:05:00Z,28356
VD,2017-01-03T03:10:00Z,28246
VD,2017-01-03T03:15:00Z,28126
VD,2017-01-03T03:20:00Z,28050
VD,2017-01-03T03:25:00Z,27970
VD,2017-01-03T03:30:00Z,27950
VD,2017-01-03T03:35:00Z,27856
VD,2017-01-03T03:40:00Z,27752
VD,2017-01-03T03:45:00Z,27707
VD,2017-01-03T03:50:00Z,27629
VD,2017-01-03T03:55:00Z,27989
VD,2017-01-03T04:00:00Z,28626
VD,2017-01-03T04:05:00Z,28801
VD,2017-01-03T04:10:00Z,28797
VD,2017-01-03T04:15:00Z,28765
VD,2017-01-03T04:20:00Z,28709
VD,2017-01-03T04:25:00Z,28705
VD,2017-01-03T04:30:00Z,28770
VD,2017-01-03T04:35:00Z,28743
VD,2017-01-03T04:40:00Z,28743
VD,2017-01-03T04:45:00Z,28749
VD,2017-01-03T04:50:00Z,28788
VD,2017-01-03T04:55:00Z,28880
VD,2017-01-03T05:00:00Z,29011
VD,2017-01-03T05:05:00Z,29175
VD,2017-01-03T05:10:00Z,29243
VD,2017-01-03T05:15:00Z,29339
VD,2017-01-03T05:20:00Z,29419
VD,2017-01-03T05:25:00Z,29475
VD,2017-01-03T05:30:00Z,29465
VD,2017-01-03T05:35:00Z,29604
VD,2017-01-03T05:40:00Z,29451
VD,2017-01-03T05:45:00Z,29506
VD,2017-01-03T05:50:00Z,29595
VD,2017-01-03T05:55:00Z,29766
VD,2017-01-03T06:00:00Z,30262
VD,2017-01-03T06:05:00Z,30915
VD,2017-01-03T06:10:00Z,31386
VD,2017-01-03T06:15:00Z,31651
VD,2017-01-03T06:20:00Z,32054
VD,2017-01-03T06:25:00Z,32457
VD,2017-01-03T06:30:00Z,32813
VD,2017-01-03T06:35:00Z,33339
VD,2017-01-03T06:40:00Z,33791
VD,2017-01-03T06:45:00Z,34249
VD,2017-01-03T06:50:00Z,34747
VD,2017-01-03T06:55:00Z,35314
VD,2017-01-03T07:00:00Z,35833
